power,hero,count
Intelligence,Captain America ,3
Strength,Captain America ,3
Speed,Captain America ,2
Durability,Captain America ,3
Energy Projection,Captain America ,1
Fighting Skills,Captain America ,6
Intelligence,Hawkeye,3
Strength,Hawkeye,2
Speed,Hawkeye,2
Durability,Hawkeye,2
Energy Projection,Hawkeye,1
Fighting Skills,Hawkeye,6
Intelligence,Falcon ,2
Strength,Falcon ,2
Speed,Falcon ,3
Durability,Falcon ,2
Energy Projection,Falcon ,1
Fighting Skills,Falcon ,4
Intelligence,Bucky,2
Strength,Bucky,4
Speed,Bucky,2
Durability,Bucky,3
Energy Projection,Bucky,1
Fighting Skills,Bucky,6
Intelligence,Ant-Man ,4
Strength,Ant-Man ,5
Speed,Ant-Man ,3
Durability,Ant-Man ,5
Energy Projection,Ant-Man ,3
Fighting Skills,Ant-Man ,4
Intelligence,Scarlet Witch,3
Strength,Scarlet Witch,2
Speed,Scarlet Witch,2
Durability,Scarlet Witch,2
Energy Projection,Scarlet Witch,6
Fighting Skills,Scarlet Witch,3
